event,waveform,cosmology,distance_conversion,prior_cosmology,prior_a_1 (or chi1),prior_a_2 (or chi2),prior_tilt_1,prior_tilt_2,prior_chirp_mass
IGWN-GWTC2p1-v2-GW190527_092055_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=19.458884953501943, maximum=114.87468274602905, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW191216_213338_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=7.048878803987127, maximum=10.952122382061372, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW200209_085452_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=21.22754654990711, maximum=90.60889574732884, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190519_153544_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=36.008499230478826, maximum=101.1090474503333, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW191103_012549_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=5.628459258092691, maximum=11.422992347700943, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC3p0-v1-GW200219_094415_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_1', latex_label='$\\\\theta_1$', unit=None, boundary=None)""","b""Sine(minimum=0, maximum=3.141592653589793, name='tilt_2', latex_label='$\\\\theta_2$', unit=None, boundary=None)""","b""UniformInComponentsChirpMass(minimum=22.394536508503787, maximum=66.56421024212413, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190620_030421_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=28.35822387353086, maximum=96.06738729730228, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190521_074359_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=10, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=27.104198873381844, maximum=52.88565825721478, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190731_140936_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=22.34677914155712, maximum=76.52080798007425, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
IGWN-GWTC2p1-v2-GW190513_205428_PEDataRelease_mixed_nocosmo.h5,C01:IMRPhenomXPHM,b'Planck15_lal',d_l^2,"b""PowerLaw(alpha=2, minimum=100, maximum=10000, name='luminosity_distance', latex_label='$d_L$', unit='Mpc', boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_1', latex_label='$a_1$', unit=None, boundary=None)""","b""Uniform(minimum=0, maximum=0.99, name='a_2', latex_label='$a_2$', unit=None, boundary=None)""","b""Sine(name='tilt_1', latex_label='$\\\\theta_1$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""Sine(name='tilt_2', latex_label='$\\\\theta_2$', unit=None, minimum=0, maximum=3.141592653589793, boundary=None)""","b""UniformInComponentsChirpMass(minimum=19.48657217564383, maximum=50.75986408693322, name='chirp_mass', latex_label='$\\\\mathcal{M}$', unit='$M_{\\\\odot}$', boundary=None)"""
